src_new\org\argouml\application\Main.java,src_new\org\argouml\ui\SettingsTabAppearance.java,4
src_new\org\argouml\application\Main.java,src_new\org\argouml\uml\ui\ActionReopenProject.java,2
src_new\org\argouml\application\Main.java,tests\org\argouml\model\TestModel.java,1
src_new\org\argouml\application\Main.java,modules\menutest\src\org\argouml\ui\test\ActionTestLoadableModule.java,1
src_new\org\argouml\application\Main.java,src_new\org\argouml\moduleloader\ModuleInterface.java,1
src_new\org\argouml\application\Main.java,src_new\org\argouml\moduleloader\ModuleLoader2.java,1
src_new\org\argouml\application\Main.java,src_new\org\argouml\moduleloader\SettingsTabModules.java,1
src_new\org\argouml\application\Main.java,src_new\org\argouml\ui\cmd\GenericArgoMenuBar.java,2
src_new\org\argouml\application\Main.java,src_new\org\argouml\ui\cmd\InitMenusLater.java,1
src_new\org\argouml\application\Main.java,tests\org\argouml\util\CheckMain.java,1
src_new\org\argouml\application\Main.java,tests\org\argouml\uml\ui\GUITestActionSaveGraphics.java,1
src_new\org\argouml\application\Main.java,src_new\org\argouml\persistence\PersistenceManager.java,2
src_new\org\argouml\application\Main.java,src_new\org\argouml\persistence\SAXParserBase.java,1
src_new\org\argouml\application\Main.java,src_new\org\argouml\model\uml\DataTypesHelperImpl.java,1
src_new\org\argouml\application\Main.java,src_new\org\argouml\model\uml\ExtensionMechanismsHelperImpl.java,1
src_new\org\argouml\application\Main.java,src_new\org\argouml\ui\cmd\ActionShowXMLDump.java,1
src_new\org\argouml\application\Main.java,src_new\org\argouml\ui\FileChooserFactory.java,1
src_new\org\argouml\application\Main.java,src_new\org\argouml\util\osdep\OsUtil.java,1
src_new\org\argouml\application\Main.java,src\model\src\org\argouml\model\Model.java,1
src_new\org\argouml\application\Main.java,src_new\org\argouml\ui\cmd\ActionExit.java,4
src_new\org\argouml\application\Main.java,src_new\org\argouml\ui\cmd\ActionNew.java,1
src_new\org\argouml\application\Main.java,tests\org\argouml\model\GenericUmlObjectTestFixture.java,1
src_new\org\argouml\application\Main.java,tests\org\argouml\model\TestAgainstUmlModel.java,1
src_new\org\argouml\application\Main.java,src_new\org\argouml\uml\notation\uml\InitNotationUml.java,1
src_new\org\argouml\application\Main.java,src_new\org\argouml\notation\Notation.java,3
src_new\org\argouml\application\Main.java,src_new\org\argouml\notation\NotationProviderFactory2.java,2
